size(sqft),parking_lot,rooms,price(ksh),year_built
1146.480331,3,9,183100,2017
2224.059764,4,6,238100,2018
759.8784195,2,4,325900,2019
2260.251857,3,6,439200,2020
767.0182167,2,7,137500,2018
2500,4,5,212500,2019
2286.236854,2,6,176000,2021
1150.086256,5,7,126300,2023
1004.932182,3,8,238900,2023
800,2,6,106400,2015
993.75,1,4,96700,2015
1298.139334,2,6,175900,2015
996.797438,6,1,83800,2016
985.0194952,5,2,224200,2017
1118.75,4,3,141700,2018
889.8305085,3,3,226900,2017
2738.22563,2,2,204600,2018
1725.490196,1,3,239800,2010
2488.004265,3,4,295200,2015
1200.082764,4,3,96000,2016
1584.283904,5,7,90600,2015
900,3,8,121900,2014
1193.440032,4,9,209400,2014
1487.357462,6,6,200000,2015
989.9029895,5,7,116800,2015
1155.020213,3,5,112800,2018
949.893137,2,7,240000,2010
875,3,4,275000,2019
853.3611982,4,5,103500,2010
483.0917874,3,3,59000,2011
800,2,4,181400,2015
802.0415603,2,2,279500,2015
610.0660905,1,6,159400,2016
1680.107527,2,7,300900,2017
1150.136038,3,6,364600,2018
1550.114497,4,7,85600,2019
1699.834163,5,5,358800,2020
1600.170685,6,4,272600,2024
600.0566091,5,6,125000,2024
1429.200617,6,4,318800,2023
1115.137998,4,3,161800,2024
2750.929368,4,2,500001,2022
1811.196487,3,4,500001,2022
1045.036079,4,3,271400,2023
3433.996566,3,5,227300,2020
1298.219585,4,3,148500,2021
1109.165207,3,6,131900,2020
1304.034182,4,3,217100,2021
1041.195111,3,6,460100,2010
2135.748916,3,1,146400,2011
1850.180505,3,2,81500,2022
1665.080875,3,3,305100,2011
398.2621289,2,2,500001,2023
1005.025126,2,4,182400,2022
4900.959771,3,3,187500,2024
1294.016156,2,5,197500,2024
1536.806516,3,4,246400,2023
1123.188406,2,6,86900,2024
800.1939864,3,5,50800,2023
2655.807365,1,3,500001,2023
1513.775356,2,4,105700,2022
1280,2,2,151200,2021
410.0678733,3,3,181300,2021
3429.355281,3,5,403000,2023
890.0451869,3,4,103800,2016
977.7082519,4,5,116700,2029
1099.855282,3,3,159700,2018
1050.241272,4,5,61900,2016
1400.241838,2,6,91800,2019
1740.139211,2,7,126000,2018
1149.131767,4,5,101800,2018
650.1950585,2,7,51300,2019
1355.01355,4,5,157300,2020
1800.072003,2,7,64100,2023
907.6305221,2,5,156300,2020
1636.296021,1,7,282400,2020
900.2520706,1,5,350500,2021
1318.044023,2,3,158300,2021
1949.586451,3,5,214700,2021
1643.36522,4,7,172600,2023
1233.045623,5,6,112500,2021
655.0802139,56,7,261800,2023
1180.173092,4,8,64700,2021
1200.087279,5,6,326600,2024
6974.645114,34,7,170800,2021
2700.075602,3,8,500001,2023
850.0991782,2,4,108300,2024
2636.296531,2,5,60800,2023
900.0163639,3,3,114300,2019
2472.952087,2,5,210700,2019
904.0656205,5,4,289600,2018
265.0033933,3,5,136800,2017
1570.306924,4,6,96200,2018
955.4140127,5,4,104200,2017
1000,3,6,93100,2019
2494.747899,3,4,179100,2017
1150.130348,2,3,88800,2016
1210.136674,2,5,83000,2021
1365.001365,1,6,65900,2022
499.6366279,3,4,166800,2021
1050.144395,4,6,130600,2024
476.0204689,3,4,287800,2024
985.452839,4,3,70800,2023
1045.296167,3,5,192500,2023
1301.89498,5,6,165000,2021
2000,3,4,161100,2021
4465.709729,4,3,435900,2024
1192,3,2,232000,2019
1846.153846,2,2,121700,2016
448.5310608,3,4,500001,2015
750.0604887,4,2,290000,2017
1060.070671,3,4,135400,2010
1415.09434,4,2,165600,2011
1160.062565,3,2,250000,2013
1690.024732,5,3,171900,2022
1672.762741,4,4,173300,2024
1315.265046,5,5,120700,2023
650.026001,3,4,200000,2024
540.1755571,4,5,144100,2022
1830.065359,2,3,127000,2014
1575.157516,4,6,153200,2016
1530,2,3,155700,2019
619.6377502,3,6,108900,2023
2200,4,3,114500,2024
1757.188498,3,5,79200,2023
1087.885617,4,3,71100,2023
1199.862873,5,4,112500,2023
1265.035255,4,5,237500,2024
676.0453302,3,3,216700,2023
800,4,5,94300,2022
750.0750075,5,3,156900,2021
1500,6,5,167100,2021
1814.285714,4,3,173700,2021
1195.652174,4,4,124500,2021
1395.032324,5,3,178600,2012
850.1594049,3,4,282700,2023
909.4339623,4,4,279300,2012
910.0937672,3,3,44400,2021
1850.070303,4,3,135500,16-Jul
2069.857697,3,2,443800,2021
820.0082001,2,5,229800,2014
1241.80752,3,5,86900,2018
1014.120668,2,3,304000,2019
2302.158273,3,5,500001,2010
900.0782677,1,2,225000,2010
898.5074627,1,4,79500,2010
2235.294118,2,3,128100,2010
1350,1,4,304600,2023
1100.110011,2,2,55000,2023
612.1199755,1,1,224900,2024
1100.352113,3,2,157700,2023
5194.805195,2,1,200000,2022
1475.256769,3,2,123200,2024
2780.191138,2,3,251800,2010
300.0260892,3,1,179500,2009
1000,1,2,246900,2010
1532.720245,3,1,404700,2024
995.8314034,4,1,166300,2024
1646.706587,3,4,333000,2023
2350.965575,4,2,67000,2022
534.061239,2,4,309100,2023
1100,3,1,211900,2023
1968.888889,4,3,250000,2022
2196.354052,3,3,192400,2023
2400,4,3,97200,2023
1650.252861,4,4,278600,2024
632.0572845,3,5,100000,2024
1034.965035,4,6,61500,2023
965.0439631,3,7,57500,2024
600.5495224,4,3,309100,2022
984.8484848,2,6,248800,2021
1700.060716,2,8,105800,2021
546.0145604,3,7,321800,2022
1195.499297,2,8,146400,2021
1677.468547,3,6,232700,2024
1699.716714,2,7,218600,2014
1075.027996,3,5,135000,2014
485.790072,2,7,93400,2013
929.8998569,1,4,195000,2019
1438.021283,1,5,392900,2019
5299.954894,2,3,148800,2010
1020.181859,3,3,333700,11-Feb
1070.135002,3,11,71000,2012
2400.384061,2,9,438300,2011
1767.388826,3,6,147100,2016
524,2,7,136500,2015
923.7875289,3,8,273000,1016
1657.275439,2,6,407200,2017
680,4,7,140600,2018
1100.478469,3,2,107600,2019
1701.694915,2,3,94500,2020
451.0309278,2,1,68200,2018
2727.856226,3,2,159700,2019
1000,4,7,45000,2021
1790.18976,2,4,182600,2023
1100.352113,2,6,276900,2023
1232.162459,3,4,86900,2015
497.988891,4,6,236500,2015
1726.017442,5,4,134800,2015
1320.052802,3,6,195200,2016
990.0990099,5,7,204200,2017
675.0441375,4,5,99400,2018
674.0361283,3,3,139000,2017
775.1114886,4,6,182100,2018
718.1042049,3,4,483800,2010
3200,4,6,210200,2015
945.1795841,3,5,231000,2016
1089.028042,2,7,500001,2015
942.1518749,2,7,75000,2014
1370,3,6,144600,2014
1265.111049,2,5,201300,2015
1394.31121,4,1,172200,2015
800,4,1,187000,2018
1505.144771,5,5,100000,2010
1067.270375,3,8,500001,2019
1400.059577,2,4,162700,2010
728.9473684,3,6,239300,2011
1293.103448,4,4,168600,2015
106469.0027,5,6,88500,2015
2939.624633,4,4,216600,2016
1431.068385,5,3,315300,2017
1350.063532,5,5,137500,2018
750.1630789,6,7,251100,2019
1170.074459,4,4,164700,2020
1121.076233,3,5,183100,2024
1904.761905,2,4,94200,2024
7054.132802,4,5,104900,2023
950.0285009,5,4,180800,2024
969.9321048,4,5,50800,2022
636.0078278,5,2,160300,2022
4578.507945,3,3,200800,2023
700.0259269,4,4,333700,2020
1859.637775,2,3,500001,2021
1700.186606,3,4,276600,2020
1847.187238,4,3,155500,2021
509.5541401,2,6,209400,2010
1427.424391,2,4,107800,2011
715.0518413,3,5,151300,2022
1393.214227,4,3,138800,2011
900.3215434,3,5,276100,2023
1000,2,5,81800,2022
800,3,3,329400,2024
445.0304928,4,4,159200,2024
1125.175809,3,3,258300,2023
1015.113918,4,4,500001,2024
1200.417537,2,5,238900,2023
1060.147122,4,4,244700,2023
1654.846336,2,5,305800,2022
1175.121811,1,4,281300,2021
412.0213282,3,5,156300,2021
1877.435352,4,5,278600,2023
1150.121065,2,4,161200,2016
910.0529101,2,5,260700,2029
1080,3,5,163500,2018
1902.843071,2,5,100600,2016
850.4606662,3,3,52600,2019
1051.223242,2,5,440900,2018
945.0617925,3,5,67500,2018
570.0958798,1,4,161800,2019
1050.070432,3,5,60300,2020
1785.060417,2,6,165500,2023
800,2,4,500001,2020
750.0551511,3,6,205200,2020
1129.908619,3,4,142600,2021
2857.142857,2,6,146000,2021
896.6801117,3,4,140600,2021
900.116144,4,6,108500,2023
1870.32419,3,4,98500,2021
1288.102262,4,5,258800,2023
2461.538462,3,3,161600,2021
1066.408143,4,3,154700,2024
4299.996417,5,5,84700,2021
816.8491699,4,3,238900,2023
1261.625556,5,2,225000,2024
1160.092807,4,3,303600,2023
828.7063893,5,5,265600,2019
2015.021066,3,5,185300,2019
2765.784114,2,3,75000,2018
790.0334245,3,3,243100,2017
1358.024691,2,3,500001,2018
850.1594049,3,3,104200,2017
1115.075825,2,4,236500,2019
406.3088686,4,4,61300,2017
1080.080235,5,5,193200,2016
3621.234302,4,4,132600,2021
10050.25126,5,3,500001,2022
1150.0069,4,3,143800,2021
2489.40678,5,2,198700,2024
1894.179894,4,2,237500,2024
4000,3,2,150400,2023
1269.146608,4,3,85100,2023
3458.366587,3,4,285200,2021
835.2668213,4,4,90000,2021
1185.146168,2,4,105400,2024
1289.872756,4,4,56400,2019
2100,2,3,174200,2016
3167.898627,3,4,252400,2015
433333.3333,3,5,255400,2017
845.007783,5,5,275000,2010
850,3,5,106400,2011
923.0100988,5,4,113800,2013
1490.312966,3,5,231800,2022
1480.019734,4,4,158900,2024
1510.159253,5,3,174100,2023
453.0166793,3,3,112500,2024
999.6079969,4,3,346800,2022
1000,5,3,500001,2014
1350.135014,3,4,147500,2016
1231.578947,4,5,266700,2019
829.8850575,5,5,193800,2023
1069.782752,4,5,112500,2024
610.0273241,3,3,78200,2023
2030.205496,4,4,225000,2023
978.7377658,5,3,500001,2023
1503.225806,4,4,92400,2024
804.8649615,3,3,177500,2023
1400.051854,6,2,337300,2022
1251.091068,7,2,176000,2021
1850.424056,5,3,222400,2021
711.0877008,6,4,114200,2021
540.0540054,4,4,376100,2021
748,6,3,372000,2012
1166.039111,7,4,98400,2023
943.057302,8,3,359400,2012
1700.071582,7,4,229900,2021
2175.202689,9,4,335400,16-Jul
2181.818182,7,5,206500,2021
1700.071582,furnished-2bdrm-block-of-flats-in-premier-malindi-for-rent,4,83000,2014
1080.246914,7,3,257500,2018
1276.127613,8,3,168100,2019
2735.016019,7,3,346700,2010
988.0395216,8,4,63400,2010
935.0788138,6,4,162500,2010
550.0207555,5,3,288200,2010
1094.890511,7,3,137500,2023
6397.725253,5,4,291500,2023
1150.01465,8,4,186200,2024
936.1348034,5,4,221400,2023
1150.030066,9,4,171800,2022
3810.431055,5,4,229000,2024
1173.020528,7,4,145200,2010
2541.699762,5,4,185400,2009
950.1648245,8,4,165100,2010
1045.12276,6,3,154300,2024
1969.667126,7,2,132900,2024
930.0661778,5,2,104600,2023
1071.080818,3,3,187600,2022
1400.208986,2,4,286600,2023
1176.470588,2,5,145500,2023
1925.925926,3,2,270000,2022
1053.001053,2,3,172800,2023
1051.156272,3,1,362700,2023
988.5365491,4,1,219400,2024
1300.034211,4,5,137300,2024
850.0028333,4,6,128100,2023
948.6166008,3,5,92200,2024
1760.198799,4,3,141000,2022
850.1259446,3,6,225900,2021
654.9646319,5,4,350000,2021
1050.019091,2,5,99300,2022
1267.05653,1,3,159700,2021
1150.086256,1,5,66100,2024
844.8442017,3,5,88900,2014
1075.268817,4,5,289700,2014
1016.191315,3,5,272300,2013
900.3760394,4,5,264900,2019
2058.11138,3,4,284200,2019
6000,2,3,127500,2010
950.1187648,2,5,230500,11-Feb
2015.983872,2,1,500001,2012
749.4004796,2,5,121800,2011
3045.878546,3,3,244600,2016
1303.707063,4,2,183300,2015
936.0223873,4,5,332800,1016
1100.375738,5,4,355300,2017
704.0070843,5,5,426500,2018
2000,5,4,113300,2019
1678.657074,5,5,283700,2020
411.1662322,4,4,478600,2018
950.0285009,3,5,124100,2019
4787.552364,3,5,105100,2021
630.2521008,3,5,280800,2023
1823.154057,3,4,73800,2023
2250.692521,4,3,337900,2015
1399.941055,5,4,159600,2015
1635.055592,4,3,328500,2015
1896.878772,3,3,500001,2016
1600,4,3,155000,2017
1447.054818,5,4,88800,2018
1640.112465,4,1,355200,2017
1110.053917,4,3,258500,2018
3333.333333,3,1,59100,2010
2708.070049,2,1,262100,2015
410.0461302,2,4,119500,2016
1512.401694,4,2,135000,2015
912.0620202,4,4,252600,2014
795.097423,5,3,55400,2014
443.5607219,4,3,141100,2015
1350.121359,4,3,500001,2015
4000,4,4,115400,2018
4769.230769,3,3,145500,2010
1897.278651,3,4,143800,2019
705.0092764,2,3,200000,2010
1510.989011,3,4,46500,2011
643.8113633,2,3,102000,2015
1100.208147,4,5,500001,2015
650.0691563,5,4,100000,2016
502.6315789,5,5,57500,2017
999.6895374,4,4,246300,2018
628.9308176,5,5,241700,2019
1050.228311,3,4,363300,2020
1225.186104,3,1,156300,2024
1473.005999,2,2,85500,2024
1250,3,6,207300,2023
1614.797416,4,4,173900,2024
533.0243337,4,5,153800,2022
2754.820937,3,4,329400,2022
772.4137931,4,5,240200,2023
900.116144,2,3,173200,2020
674.9662517,2,5,60000,2021
1773.049645,1,5,102600,2020
1200,1,4,113300,2021
2015.503876,2,4,370000,2010
1075.05864,1,3,230800,2011
1190.322581,3,5,500001,2022
1220.886551,1,5,81400,2011
1199.944189,1,4,500001,2023
1700.15456,3,5,121200,2022
875.1608752,3,4,101600,2024
1518.151815,4,5,123100,2024
739.9817851,3,4,500001,2023
389.5585889,2,3,71700,2024
1350.154936,2,4,110100,2023
1679.966401,3,5,373600,2023
5873.586394,4,4,187700,2022
1044.045677,4,6,156800,2021
1350.024546,2,5,177500,2021
1954.686806,4,6,189200,2023
1500,2,7,436400,2016
1192.307692,4,6,201800,2029
1000,2,7,111800,2018
1556.247221,4,5,181400,2016
514.9738552,3,6,96700,2019
1072.194425,3,4,67500,2018
1626.898048,4,5,178100,2018
700.1647446,4,4,137900,2019
1336.184773,4,6,109700,2020
535.0028458,4,5,271300,2023
882.0536017,2,6,162500,2020
650.0397984,4,7,118300,2020
1370.07874,2,8,500001,2021
1930.235765,1,7,252700,2021
730.8254481,3,6,185200,2021
1000,4,7,113300,2023
650.0956023,3,8,310000,2021
2258.512856,2,9,500001,2023
2026.929202,4,8,167800,2021
414.7619048,3,7,95500,2024
1495.35923,4,5,82600,2021
800,2,4,162900,2023
1821.125051,4,5,84400,2024
940.8075265,3,6,200200,2023
1250,3,7,337500,2019
1209.816799,2,5,348300,2019
550.017188,2,7,224700,2018
1150,4,2,441700,2017
1225.201072,1,4,247700,2018
408.997955,2,5,135000,2017
2685.861624,2,6,97700,2019
498.8873735,2,4,333800,2017
666.0088801,3,5,53200,2016
1110.045224,4,3,174500,2021
950.3239741,2,5,143200,2022
1349.325337,1,5,299300,2021
530.2378905,3,4,312700,2024
1200.274348,4,3,267200,2024
1599.680064,3,4,213100,2023
1163.636364,2,5,359500,2023
113785.558,3,3,291700,2021
2241.010492,4,5,500001,2021
942.0022165,3,3,100000,2024
301.9171163,2,6,187500,2019
900.090009,3,5,43100,2016
2674.956622,2,7,201500,2015
852.9776675,4,5,248400,2017
2106.897316,3,3,82700,2021
3495.947879,4,5,347100,2014
1600.134748,2,3,51700,2018
1326.963907,1,5,350000,2019
1505.011565,2,3,152300,2010
1296.111665,3,2,172700,2010
3501.361641,4,4,154400,2010
1400.147384,3,3,284100,2010
661.9632436,2,4,142500,2023
2070.0207,3,2,263900,2023
284.0012622,4,4,288500,2024
1299.89295,3,4,63700,2023
1300.131062,2,5,145800,2022
1165.13904,3,6,179600,2024
1135.241856,4,4,137500,2010
1645.141451,3,3,183000,2009
2141.46658,2,5,209500,2010
1777.975331,4,7,229000,2024
947.6389335,3,4,63300,2024
1100.196464,2,7,196200,2023
1273.828413,3,5,500001,2022
797.0849465,2,8,158900,2023
823.0452675,2,9,237900,2023
630.1502666,3,6,291800,2022
1300.284437,3,4,56700,2023
1785.469029,4,6,190500,2023
1995.609659,3,7,60500,2024
3750.161645,2,5,138100,2024
1724.137931,2,6,376000,2023
1699.346405,1,7,199600,2024
1270.417423,2,8,170600,2022
675.0392465,1,6,406900,2021
1625.282167,2,4,160300,2021
1655.878368,1,6,125000,2022
1650.252861,2,1,65500,2021
650.1011268,1,2,157500,2024
1750.051472,2,3,258100,2014
1400,3,3,150700,2014
1877.410189,3,2,125700,2013
1150.190114,4,3,57600,2019
1767.352185,3,4,177500,2019
800.1361934,4,3,162500,2010
1250,3,7,435100,11-Feb
609.0764331,4,8,160800,2012
2000,2,9,230100,2011
1250,3,6,100000,2016
954.7934528,4,7,74000,2015
453.0011325,2,5,92800,1016
550.0442,4,7,144500,2017
2051.158301,1,4,114100,2018
2501.924557,3,5,165600,2019
1159.243441,2,3,100600,2020
940.2914904,4,4,57100,2018
1750.087504,2,2,158800,2019
1474.993653,1,6,88400,2021
800,2,7,76600,2023
1678.947368,1,6,167900,2023
2171.612103,3,7,93800,2015
675.024108,1,5,293300,2015
1302.241066,4,4,126100,2015
1166.180758,3,6,279500,2016
549.7771174,4,4,247300,2017
1399.825022,2,3,276000,2018
1176.683563,3,2,389700,2017
1282.568807,2,4,302000,2018
1609.834626,4,3,342800,2010
675.1687922,2,5,120400,2015
1950.078003,6,3,125400,2016
1650,3,6,137500,2015
1223.380154,2,3,150800,2014
1250,1,6,123400,2014
1183.522902,2,1,191700,2015
1960.01568,6,2,323100,2015
2700.096432,5,3,209300,2018
980.3921569,4,2,402400,2010
1195.652174,3,4,327700,2019
900.297619,2,3,190100,2010
1328.273245,1,5,377600,2011
1125.112511,3,4,322900,2015
830.2364197,4,6,138800,2015
1554.118018,5,5,162500,2021
449.7354497,3,3,218800,2014
1210.084034,4,4,249200,2018
1800.288046,6,2,81300,2019
958.9041096,5,3,357400,2010
4800,3,5,231000,2010
1350.0135,2,4,135700,2010
949.9136442,3,5,93800,2010
1040.041602,4,3,179200,2023
1449.781659,3,5,194400,2023
1350.135014,2,6,61600,2024
1579.809004,2,7,85000,2023
1489.489489,1,5,140000,2022
750.0610799,2,7,161300,2024
1419.656786,3,5,88900,2010
4095.252541,4,7,183500,2009
750,5,5,240800,2010
883.4442547,6,7,184900,2024
910.8108108,5,5,115200,2024
2526.595745,6,3,175000,2023
5000,4,5,202400,2022
1559.004948,4,7,274600,2023
1553.139561,3,6,124000,2023
1207.200847,4,7,96900,2022
1400,3,8,183400,2023
1347.708895,4,6,225000,2023
2728.264824,3,7,225000,2024
2705.882353,4,8,313100,2024
1429.272351,3,4,281300,2023
716.0268129,3,5,141000,2024
1420.051122,3,3,78800,2022
970.042796,3,5,162100,2021
3899.835796,2,4,364400,2021
900.090009,2,5,404500,2022
1264.450867,3,6,273400,2021
1850.124378,2,4,241700,2024
1070.079731,3,6,444500,2014
840.1344215,2,4,292900,2014
2280.068402,3,3,92000,2013
1671.681712,1,5,311600,2019
3200.189641,2,6,143800,2019
722.0216606,2,4,140000,2010
1300.027858,3,6,104200,11-Feb
1069.93737,3,4,109400,2012
1773.144914,3,3,231900,2011
617.9671647,4,5,500001,2016
715.0153218,3,6,85700,2015
1352.169526,4,4,161700,1016
1199.637845,2,3,162500,2017
1363.109049,2,2,350000,2018
802.572041,4,2,187500,2019
950.1187648,2,4,431800,2020
1217.161984,4,2,158300,2018
1050.052503,2,4,320900,2019
1073.878628,2,2,350000,2021
609.9916634,1,2,315900,2023
777.1073322,1,3,168800,2023
900.0692361,2,4,142000,2015
900.0473709,3,5,337500,2015
1079.913607,4,4,309300,2015
1565.55773,5,5,187500,2016
950.0777336,56,3,500001,2017
1474.080747,4,6,325000,2018
1250,5,3,188500,2017
987.2159091,34,6,90600,2018
963.2751355,3,3,135200,2010
1350.135014,2,5,198400,2015
1085.169352,2,3,167600,2016
1187.172371,3,4,225800,2015
1800,2,5,500001,2014
450,5,3,76400,2014
1610.087294,3,5,367300,2015
1600,4,3,111800,2015
875.8683177,5,5,259800,2018
1825.047199,3,3,103100,2010
750.0340925,3,4,130400,2019
1050.130672,2,3,198200,2010
1276.190476,2,4,85900,2011
1050.098447,1,4,412000,2015
800,3,3,210500,2015
677.2009029,4,3,93700,2015
134884.5664,3,2,109600,2014
453.0011325,4,5,219500,2014
1118.864852,3,5,301600,2015
1675.312786,5,3,218800,2015
989.927058,3,5,168400,2018
3200,4,2,100800,2010
932.9149351,3,4,100600,2019
1151.271754,2,3,60800,2010
1277.013752,3,4,93600,2011
1609.340486,4,2,244900,2015
1305.142261,3,1,72400,2015
4995.004995,4,2,162500,2021
800,3,1,39800,2014
1130.00932,5,2,150600,2018
960.0529684,4,3,263200,2019
1574.590606,5,1,130700,2010
917.1252293,3,2,218700,2010
780.3790412,4,1,90600,2010
690.0212314,2,1,60000,2010
852.4137931,4,4,493200,2023
816.1044614,2,2,475000,2023
828.0621047,3,4,333900,2024
1236.009064,4,1,168800,2023
1135.159679,3,3,197700,2022
1050.030883,4,"Furnished 3bdrm Apartment in Hatheru Road, Lavington for Rent",162500,2024
1847.187238,5,3,500001,2010
2182.684225,4,4,500001,2009
1750.028226,3,5,87500,2010
800,4,6,157300,2024
1529.79066,5,7,109800,2024
1018.387553,6,3,97400,2023
428.0137341,4,6,247600,2022
1287.5,4,8,137800,2023
950,5,7,223200,2023
1492.537313,3,8,54200,2022
1482.030382,4,6,215600,2023
1336.784323,3,7,138700,2023
1152.308252,4,5,109700,2024
745.4323995,3,7,115700,2024
760.5016922,2,4,101400,2023
1495.162709,3,5,281000,2024
907.1117562,2,3,283900,2022
468.0851064,3,3,159400,2021
651.8904824,1,11,88300,2021
630.0114548,1,9,291700,2022
2150.304083,2,6,52500,2021
626.2135922,1,7,206700,2024
1017.293998,2,8,49500,2014
1224.177506,1,6,75800,2014
1214.329083,3,7,295900,2013
1250,2,2,140900,2019
1974.103163,3,3,72200,2019
914.0767824,2,1,196400,2010
979.7746518,3,2,78400,2015
655.0218341,1,7,87500,2014
2067.649242,3,4,209400,2014
730.0204918,4,6,272800,2015
1225.114855,3,4,66600,2015
1000,4,6,196900,2018
1329.787234,2,4,500001,2010
1310.125398,3,6,94400,2019
1050.119332,4,7,144400,2010
1099.00174,3,5,233300,2011
741.1851904,4,3,46300,2015
1404.180629,4,6,372700,2015
576.7012687,3,4,181000,2021
1267.197683,4,6,198100,2014
576,3,5,146800,2018
418.9066536,4,7,136000,2019
2591.722686,2,7,275300,2010
1129.908619,2,6,312000,2010
900.2770083,3,5,179600,2010
1285.21997,2,1,109400,2010
2356.432187,3,1,310600,2023
1425.178147,2,5,192300,2023
1705.708438,3,8,236800,2024
906.6666667,2,4,204500,2023
1159.885796,1,6,455300,2022
1250,1,4,64600,2024
1080.139373,2,6,87800,2010
926.0484191,3,4,166800,2009
1000,3,3,197300,2010
1150.012778,2,5,51600,2024
1263.823065,3,7,184600,2024
1342.826244,2,4,287500,2023
1364.15853,3,5,290400,2022
900.0090001,2,4,335900,2023
892.0606601,4,5,238500,2023
593.8927627,3,4,162800,2022
1181.553004,2,5,256300,2023
1315.053162,2,2,41500,2023
1071.080818,3,3,86900,2024
905.0546448,4,4,231700,2024
1485.009807,2,3,271500,2023
1388.888889,2,4,84400,2024
1100.352113,3,3,495500,2022
1586.914063,4,6,138800,2021
1102.236422,5,4,292200,2021
1880.141011,3,5,164800,2022
1297.989031,5,3,312500,2021
2046.38472,4,5,334400,2024
1699.716714,3,5,265700,2014
1250,4,3,269400,2014
981.3084112,3,4,146600,2013
1095.290252,4,3,225000,2019
1050.019091,3,4,255000,2019
498.2964225,2,5,146600,2010
650.0956023,2,4,160800,2023
645.9770115,3,5,143000,2023
1060.114742,2,4,255600,2022
1120.657452,4,5,122000,2023
1570.247934,4,5,107500,2023
1527.183873,5,4,110800,2024
1045.10451,3,5,344000,2024
2556.890821,2,5,75200,2023
1365,3,5,176700,2024
553.0682117,4,3,92700,2022
1273.12897,5,5,231500,2021
1536.09831,4,5,133900,2021
659.0038314,5,4,190400,2022
1010.10101,5,5,141700,2021
610.0422337,6,6,164100,2024
1084,4,4,362600,2014
1525.010167,3,6,52600,2014
1073.138517,2,4,170300,2013
1032.204789,4,6,86500,2019
731.7073171,5,4,170000,2019
1840.168244,4,6,123600,2010
1274.078568,5,4,268100,2015
2060.641743,3,5,359900,2014
790.3225806,4,3,187500,2014
1250,2,3,359600,2015
606.0173963,3,5,240000,2015
1180.080245,4,3,189000,2018
1300.091771,2,2,242400,2010
1150.306748,2,3,150800,2019
1529.411765,3,5,286000,2010
1150.109062,4,5,201400,2011
1267.719258,3,3,489800,2015
1820.072803,2,3,103000,2015
1100.110011,3,3,81900,2021
1373.567412,4,3,500001,2014
3539.823009,3,4,87500,2018
1250,4,4,77100,2019
715.098326,2,5,365500,2010
1180.327869,4,4,139900,2010
460.0141543,2,3,143400,2010
1750.448833,1,3,100000,2010
1250,3,2,329600,2023
454.5454545,4,2,215700,2023
1156.25,2,2,287500,2024
3017.170443,2,3,500001,2023
1275.148767,3,4,195100,2022
789.4736842,2,4,262100,2024
1464.128843,3,4,233300,2010
744.7402718,2,4,352300,2009
2197.260274,3,3,310100,2010
1262.980634,1,4,500001,2024
2500,3,5,259700,2024
1096.057239,2,5,171900,2023
900.090009,2,5,156800,2022
636.682243,3,4,113200,2023
1750.164078,3,5,116700,2023
2840.909091,2,4,306700,2022
